Tax Year,Resident Type,Place of Residence,Country,State,County,Income Class,Disclosure,Number of All Returns,NY AGI of All Returns (in thousands) *,Deductions of All Returns (in thousands),Dependent Exemptions of All Returns (in thousands),Taxable Income of All Returns (in thousands),Tax Before Credits of All Returns (in thousands),Tax Liability of All Returns (in thousands) **,Place of Residence Sort Order,Income Class Sort Order
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"250,000 - 499,999",,12,"3,595.86",220.128,10,"1,949.24",130.995,42.383,150,12
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"500,000 and over",d/,,,,,,,,150,13
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,Total,,"1,810","66,076.30","7,029.80",345.233,"28,091.29","1,874.65",444.195,150,14
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"Under 5,000",,515,"-9,068.19",488.399,0,5.056,0.203,-0.166,200,1
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"5,000 - 9,999",,179,"1,323.11","1,116.54",3,120.241,4.817,2.409,200,2
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"10,000 - 19,999",,328,"4,782.00","2,498.60",38.551,"2,028.95",82.73,60.124,200,3
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"20,000 - 29,999",,253,"6,246.72","2,023.76",63,"3,876.60",179.61,140.297,200,4
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"30,000 - 39,999",,256,"8,914.34","2,285.94",78.707,"6,302.78",322.665,247.466,200,5
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"40,000 - 49,999",,195,"8,831.69","1,757.79",87.437,"6,759.85",368.396,305.646,200,6
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"50,000 - 59,999",,197,"10,811.13","1,857.11",106,"8,574.19",482.282,401.803,200,7
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"60,000 - 74,999",,230,"15,400.97","2,165.63",125,"12,574.88",727.719,543.946,200,8
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"75,000 - 99,999",,237,"20,362.45","2,381.96",164,"16,846.58",996.887,777.642,200,9
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"100,000 - 199,999",,369,"51,524.16","4,294.68",242,"44,298.82","2,859.51","1,888.32",200,10
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"200,000 - 249,999",,56,"12,571.80",638.97,33,"10,727.75",719.955,403.19,200,11
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"250,000 - 499,999",,163,"56,425.84","2,170.38",86,"51,199.44","3,496.44","1,497.12",200,12
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"20,000 - 29,999",d/,,,,,,,,209,4
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,"500,000 and over",,193,"307,060.23","3,743.33",137,"257,993.06","20,950.92","4,423.24",200,13
2012,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,Total,,"3,171","495,186.25","27,423.10","1,163.70","421,308.20","31,192.12","10,691.04",200,14
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"Under 5,000",,433,"-5,450.70",550.392,0,3.83,0.153,0.153,201,1
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"5,000 - 9,999",,194,"1,407.20","1,253.08",0,90.724,3.638,1.234,201,2
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"10,000 - 19,999",,253,"3,754.17","1,868.59",9,"1,666.25",67.855,56.893,201,3
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"20,000 - 29,999",,123,"2,990.74",880.5,7,"1,893.02",88.213,74.635,201,4
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"30,000 - 39,999",,78,"2,697.11",551.544,2,"1,667.84",86.68,64.293,201,5
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"40,000 - 49,999",,56,"2,509.18",422.5,9,"1,896.33",104.853,72.443,201,6
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"50,000 - 59,999",,47,"2,547.40",373.433,5,"2,008.71",114.692,72.598,201,7
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"60,000 - 74,999",,43,"2,877.10",351.54,6,"1,999.15",114.856,77.645,201,8
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"75,000 - 99,999",,47,"4,115.55",489.469,17,"3,036.37",177.101,109.176,201,9
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"100,000 - 199,999",,112,"16,511.36","1,004.75",42,"11,430.85",743.848,383.44,201,10
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"200,000 - 249,999",,45,"10,146.23",421.475,30,"7,179.04",480.35,123.278,201,11
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"250,000 - 499,999",,142,"51,413.22","2,106.51",121,"42,537.05","2,900.31",768.06,201,12
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,"500,000 and over",,259,"425,045.70","4,338.78",306,"340,539.52","27,268.13","4,739.06",201,13
2012,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,Total,,"1,832","520,564.24","14,612.57",554,"415,948.68","32,150.68","6,542.91",201,14
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"Under 5,000",,138,"-1,124.35",84.271,0,0.001,0,0,202,1
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"5,000 - 9,999",,46,337.683,269.458,0,22.997,0.921,0.218,202,2
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"10,000 - 19,999",,54,788.74,387.859,1,322.915,13.185,9.024,202,3
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"20,000 - 29,999",,44,"1,103.95",320.124,8,544.273,25.328,22.487,202,4
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"30,000 - 39,999",,30,"1,032.09",242.831,4,751.513,38.914,32.113,202,5
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"40,000 - 49,999",,32,"1,457.85",290.223,6,"1,077.69",60.161,48.792,202,6
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"50,000 - 59,999",,29,"1,579.45",214.857,2,"1,038.49",58.288,39.78,202,7
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"60,000 - 74,999",,32,"2,163.40",240,3,"1,644.14",95.896,63.835,202,8
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"75,000 - 99,999",,27,"2,357.31",185.477,5,"1,723.39",103.76,86.669,202,9
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"100,000 - 199,999",,82,"12,001.67",720.982,24,"9,661.25",628.584,417.534,202,10
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"200,000 - 249,999",,27,"5,997.35",267.416,9,"5,050.65",339.91,164.033,202,11
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"250,000 - 499,999",,79,"28,076.52",980.282,49,"24,823.51","1,695.30",861.287,202,12
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,"500,000 and over",,101,"109,866.61","1,830.89",61,"100,579.89","7,877.65","3,895.58",202,13
2012,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,Total,,721,"165,638.27","6,034.67",172,"147,240.69","10,937.89","5,641.35",202,14
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"Under 5,000",,"13,107","-31,104.92",503.28,0,1.744,0.069,0.001,203,1
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"5,000 - 9,999",,53,382.218,297.492,0,28.193,1.131,7.77,203,2
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"10,000 - 19,999",,85,"1,302.01",578.742,2,484.74,19.746,14.416,203,3
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"20,000 - 29,999",,50,"1,236.64",401.539,10,731.437,33.853,22.084,203,4
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"30,000 - 39,999",,28,993.066,229.375,7,545.076,27.647,20.24,203,5
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"40,000 - 49,999",,33,"1,468.04",266.052,2,968.227,52.894,40.054,203,6
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"50,000 - 59,999",,17,926.666,122.96,3,690.354,39.178,33.294,203,7
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"60,000 - 74,999",,27,"1,805.19",190.5,14,"1,254.08",72.486,47.019,203,8
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"75,000 - 99,999",,26,"2,250.54",238.919,12,"1,844.06",109.601,73.8,203,9
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"100,000 - 199,999",,68,"9,278.70",663.573,27,"7,163.19",461.82,272.687,203,10
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"200,000 - 249,999",,16,"3,621.38",154.46,4,"2,778.02",186.301,108.713,203,11
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"250,000 - 499,999",,53,"19,662.54",455.465,32,"16,509.91","1,127.86",452.867,203,12
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,"500,000 and over",,86,"108,657.53",845.106,36,"98,459.29","7,997.57","3,025.58",203,13
2012,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,Total,,"13,649","120,479.60","4,947.46",149,"131,458.31","10,130.16","4,118.53",203,14
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"Under 5,000",,150,"-8,360.83",289.708,0,0,0,0,204,1
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"5,000 - 9,999",,126,982.244,863.518,0,99.399,3.997,1.23,204,2
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"10,000 - 19,999",,181,"2,658.83","1,399.44",4,"1,205.19",49.088,37.78,204,3
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"20,000 - 29,999",,128,"3,149.68",971.439,2.71,"2,081.33",97.599,76.834,204,4
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"30,000 - 39,999",,59,"2,000.72",487.5,9,"1,473.62",75.659,56.631,204,5
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"40,000 - 49,999",,42,"1,885.87",352.5,6,"1,483.49",81.1,58.421,204,6
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"50,000 - 59,999",,33,"1,827.98",270,6,"1,439.24",81.447,60.27,204,7
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"60,000 - 74,999",,43,"2,912.38",422.438,10,"2,417.46",138.803,121.031,204,8
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"75,000 - 99,999",,54,"4,737.79",577.5,13,"4,048.12",236.993,188.391,204,9
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"100,000 - 199,999",,71,"9,448.47",775.111,47,"7,424.35",470.18,320.039,204,10
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"200,000 - 249,999",,11,"2,420.02",183.844,16,"2,220.17",147.71,86.814,204,11
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"250,000 - 499,999",,29,"9,876.35",340.993,31,"8,797.94",597.554,146.595,204,12
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,"500,000 and over",,19,"22,999.85",236.934,23,"19,900.58","1,558.95",150.686,204,13
2012,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,Total,,946,"56,539.35","7,170.93",167.71,"52,590.89","3,539.08","1,304.72",204,14
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"Under 5,000",,468,-19.047,"1,359.46",0,0,0,0,205,1
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"5,000 - 9,999",,267,"1,861.59","1,679.01",1,102.583,4.113,1.263,205,2
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"10,000 - 19,999",,119,"1,665.29",877.5,1,758.242,30.761,24.933,205,3
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"20,000 - 29,999",,39,962.612,292.5,1,645.392,30.224,28.759,205,4
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"30,000 - 39,999",,14,464.745,100.5,4,328.376,16.969,15.362,205,5
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"75,000 - 99,999",d/,,,,,,,,205,9
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"100,000 - 199,999",d/,,,,,,,,205,10
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"250,000 - 499,999",d/,,,,,,,,205,12
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"500,000 and over",,18,"45,785.27",216.372,14,"39,574.42","3,301.41","1,001.05",205,13
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,Total,,959,"55,862.46","4,827.79",32,"45,348.86","3,640.66","1,229.66",205,14
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"Under 5,000",,240,"-14,262.26",118.196,0,0.723,0.029,0,206,1
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"5,000 - 9,999",,52,386.646,248.368,0.633,18.174,0.73,0.25,206,2
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"10,000 - 19,999",,129,"1,982.16",573.958,26.108,236.995,9.625,18.578,206,3
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"20,000 - 29,999",,155,"3,929.45",608.133,82.755,650.037,29.3,24.61,206,4
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"30,000 - 39,999",,99,"3,420.62",397.577,69,509.503,23.239,13.803,206,5
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"40,000 - 49,999",,91,"4,028.82",443.813,44,"1,069.14",53.263,46.695,206,6
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"50,000 - 59,999",,46,"2,549.18",403.105,57,"1,090.02",54.95,32.298,206,7
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"60,000 - 74,999",,38,"2,530.41",306.563,43,866.173,47.961,32.599,206,8
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"75,000 - 99,999",,49,"4,098.60",501.897,59,"2,304.32",130.43,93.926,206,9
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"100,000 - 199,999",,96,"13,246.39","1,514.55",178,"9,498.89",603.171,333.755,206,10
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"200,000 - 249,999",,15,"3,408.81",199.413,12,"2,267.30",151.32,59.22,206,11
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"250,000 - 499,999",,33,"10,858.49",771.194,50,"9,099.65",616.078,257.192,206,12
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,"500,000 and over",,46,"104,891.31","1,799.81",60,"90,977.70","7,610.84","3,359.57",206,13
2012,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,Total,,"1,089","141,068.62","7,886.57",681.496,"118,588.61","9,330.94","4,272.49",206,14
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"Under 5,000",,147,"-6,172.70",47.043,0,0,0,0,207,1
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"5,000 - 9,999",,29,219.792,195.919,0,16.998,0.681,0.34,207,2
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"10,000 - 19,999",,32,461.655,237.108,1,178.64,7.227,7.755,207,3
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"20,000 - 29,999",,29,729.332,231,5,470.268,21.955,19.374,207,4
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"30,000 - 39,999",,20,671.853,163.467,2,433.948,22.448,19.032,207,5
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"40,000 - 49,999",,14,623.159,110.157,3,420.557,22.667,16.859,207,6
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"50,000 - 59,999",d/,,,,,,,,207,7
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"60,000 - 74,999",,11,732.212,67.5,0,460.861,26.872,24.871,207,8
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"75,000 - 99,999",,18,"1,572.21",211.499,6,987.19,57.061,44.57,207,9
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"100,000 - 199,999",,23,"3,141.64",193.321,1,"2,772.27",179.827,92.099,207,10
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"200,000 - 249,999",d/,,,,,,,,207,11
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"250,000 - 499,999",,20,"7,032.16",271.639,11,"6,135.90",418.558,161.838,207,12
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,"500,000 and over",,22,"40,866.58",277.929,10,"26,776.54","2,174.58",805.234,207,13
2012,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,Total,,377,"51,363.04","2,132.91",39,"39,767.40","3,003.64","1,230.87",207,14
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"Under 5,000",,171,"-2,309.31",64.107,0,0,0,0,208,1
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"5,000 - 9,999",,27,196.846,172.967,0,13.051,0.523,0.227,208,2
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"10,000 - 19,999",,53,769.236,363.942,0,313.127,12.766,13.491,208,3
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"20,000 - 29,999",,24,607.548,183.053,3,365.322,17.297,13.93,208,4
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"30,000 - 39,999",,22,769.04,168,1,564.683,28.752,34.106,208,5
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"40,000 - 49,999",,14,641.709,116.051,5,477.879,26.205,22.243,208,6
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"50,000 - 59,999",,13,728.415,133.54,6,588.875,32.97,30.163,208,7
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"60,000 - 74,999",,25,"1,639.16",217.5,11,"1,218.54",69.403,64.255,208,8
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"75,000 - 99,999",,31,"2,595.22",278.884,8,"2,072.26",124.01,107.363,208,9
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"100,000 - 199,999",,73,"10,424.32",626.642,25,"9,076.64",591.039,522.427,208,10
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"200,000 - 249,999",,22,"5,005.40",198.842,17,"4,077.69",274.066,159.432,208,11
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"250,000 - 499,999",,64,"22,873.88",679.641,38,"19,602.92","1,337.96",714.985,208,12
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,"500,000 and over",,125,"168,926.61","1,887.65",169,"158,162.88","12,360.24","2,123.43",208,13
2012,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,Total,,664,"212,868.08","5,090.82",283,"196,533.85","14,875.23","3,806.06",208,14
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"Under 5,000",,14,3.455,33.109,0,0,0,0,209,1
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"5,000 - 9,999",,10,79.439,72.218,0.719,6.502,0.26,0.067,209,2
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"10,000 - 19,999",d/,,,,,,,,209,3
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"30,000 - 39,999",d/,,,,,,,,209,5
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"40,000 - 49,999",d/,,,,,,,,209,6
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"50,000 - 59,999",d/,,,,,,,,209,7
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"60,000 - 74,999",d/,,,,,,,,209,8
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"75,000 - 99,999",d/,,,,,,,,209,9
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"100,000 - 199,999",d/,,,,,,,,209,10
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"200,000 - 249,999",d/,,,,,,,,209,11
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"250,000 - 499,999",d/,,,,,,,,209,12
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,"500,000 and over",d/,,,,,,,,209,13
2012,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,Total,,69,"9,678.37",549.598,15.719,"9,131.59",657.377,345.963,209,14
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"Under 5,000",,81,"-30,594.61",69.45,3,1.988,0.079,0.054,210,1
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"5,000 - 9,999",,51,396.643,291.605,3.885,37.169,1.488,-0.219,210,2
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"10,000 - 19,999",d/,,,,,,,,210,3
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"20,000 - 29,999",,49,"1,206.18",407.887,32,453.305,19.95,13.534,210,4
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"30,000 - 39,999",,25,867.323,205.753,10,393.255,19.005,15.573,210,5
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"40,000 - 49,999",,12,522.64,108.619,8,237.75,11.758,7.203,210,6
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"50,000 - 59,999",,15,809.536,103.5,7,372.356,19.319,11.837,210,7
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"60,000 - 74,999",,16,"1,056.93",140.378,3,654.726,37.472,18.108,210,8
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"75,000 - 99,999",,11,967.915,120,14,656.412,37.292,21.388,210,9
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"100,000 - 199,999",,27,"3,732.84",364.472,25,"3,000.51",193.172,100.007,210,10
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"200,000 - 249,999",d/,,,,,,,,210,11
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"250,000 - 499,999",,12,"4,518.03",188.13,9,"4,320.90",294.13,98.907,210,12
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,"500,000 and over",,14,"55,865.39",201.632,15,"49,919.05","4,314.88",695.067,210,13
2012,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,Total,,393,"41,808.41","2,979.25",163.715,"61,229.89","5,020.52","1,007.16",210,14
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"Under 5,000",,31,-160.514,30.017,0,0,0,0,211,1
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"5,000 - 9,999",d/,,,,,,,,211,2
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"10,000 - 19,999",,20,265.819,162.8,3.464,76.289,3.058,1.914,211,3
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"20,000 - 29,999",d/,,,,,,,,211,4
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"30,000 - 39,999",d/,,,,,,,,211,5
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"40,000 - 49,999",d/,,,,,,,,211,6
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"50,000 - 59,999",d/,,,,,,,,211,7
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"60,000 - 74,999",d/,,,,,,,,211,8
2012,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,"75,000 - 99,999",d/,,,,,,,,211,9
