Tax Year,Resident Type,Place of Residence,Country,State,County,Disclosure,Number of All Returns,NY AGI of All Returns (in thousands) *,Tax Liability of All Returns (in thousands) **,Number of Taxable Returns,NY AGI of Taxable Returns (in thousands) *,Tax Liability of Taxable Returns (in thousands) **,Number of Nontaxable Returns,NY AGI of Nontaxable Returns (in thousands) *,Tax Liability of Nontaxable Returns (in thousands) **,Average NY AGI of All Returns,Average Tax of All Returns,Average NY AGI of Taxable Returns,Average Tax of Taxable Returns,Average NY AGI of Nontaxable Returns,County Sort Order
2011,Full-Year Resident,Saratoga,United States,New York,Saratoga,,"103,976","6,550,414","330,861","76,335","6,354,435","339,632","27,641","195,979","-8,772","62,999","3,182","83,244","4,449","7,090",47
2011,Full-Year Resident,Schenectady,United States,New York,Schenectady,,"72,275","3,398,756","140,392","48,857","3,195,662","151,512","23,418","203,094","-11,120","47,025","1,942","65,408","3,101","8,673",48
2011,Full-Year Resident,Schoharie,United States,New York,Schoharie,,"11,941","464,189","17,136","7,639","434,949","18,815","4,302","29,240","-1,678","38,874","1,435","56,938","2,463","6,797",49
2011,Full-Year Resident,Schuyler,United States,New York,Schuyler,,"8,413","316,642","10,650","5,462","289,390","12,033","2,951","27,252","-1,383","37,637","1,266","52,982","2,203","9,235",50
2011,Full-Year Resident,Seneca,United States,New York,Seneca,,"14,761","565,522","19,771","9,460","515,207","22,128","5,301","50,315","-2,357","38,312","1,339","54,462","2,339","9,492",51
2011,Full-Year Resident,Steuben,United States,New York,Steuben,,"42,294","1,778,982","68,799","27,114","1,646,643","75,580","15,180","132,340","-6,781","42,062","1,627","60,730","2,787","8,718",52
2011,Full-Year Resident,Suffolk,United States,New York,Suffolk,,"710,071","50,604,847","2,646,057","510,385","49,304,806","2,708,762","199,686","1,300,041","-62,704","71,267","3,726","96,603","5,307","6,510",53
2011,Full-Year Resident,Sullivan,United States,New York,Sullivan,,"32,982","1,379,619","49,972","21,011","1,275,106","55,750","11,971","104,514","-5,778","41,829","1,515","60,688","2,653","8,731",54
2011,Full-Year Resident,Tioga,United States,New York,Tioga,,"22,876","993,576","35,069","15,014","907,683","38,247","7,862","85,893","-3,178","43,433","1,533","60,456","2,547","10,925",55
2011,Full-Year Resident,Tompkins,United States,New York,Tompkins,,"38,925","2,048,433","92,902","28,240","1,963,125","97,026","10,685","85,307","-4,124","52,625","2,387","69,516","3,436","7,984",56
2011,Full-Year Resident,Ulster,United States,New York,Ulster,,"81,522","3,924,876","168,408","55,718","3,760,889","177,167","25,804","163,988","-8,759","48,145","2,066","67,499","3,180","6,355",57
2011,Full-Year Resident,Warren,United States,New York,Warren,,"31,873","1,428,706","64,224","21,320","1,391,858","67,735","10,553","36,848","-3,511","44,825","2,015","65,284","3,177","3,492",58
2011,Full-Year Resident,Washington,United States,New York,Washington,,"25,861","950,414","30,375","16,874","873,507","34,337","8,987","76,907","-3,962","36,751","1,175","51,766","2,035","8,558",59
2011,Full-Year Resident,Wayne,United States,New York,Wayne,,"43,257","1,794,402","65,225","29,446","1,660,258","71,580","13,811","134,144","-6,355","41,482","1,508","56,383","2,431","9,713",60
2011,Full-Year Resident,Westchester,United States,New York,Westchester,,"442,044","53,623,974","3,365,010","313,728","53,311,777","3,410,315","128,316","312,197","-45,305","121,309","7,612","169,930","10,870","2,433",61
2011,Full-Year Resident,Wyoming,United States,New York,Wyoming,,"17,928","703,271","23,672","12,133","641,954","26,675","5,795","61,317","-3,003","39,228","1,320","52,910","2,199","10,581",62
2011,Full-Year Resident,Yates,United States,New York,Yates,,"10,754","420,639","15,142","6,613","376,084","17,065","4,141","44,555","-1,924","39,115","1,408","56,870","2,581","10,759",63
2011,Full-Year Resident,"Total, Counties Outside of New York City",United States,New York,"Total, Counties Outside of New York City",,"5,077,076","319,311,398","16,036,297","3,503,056","309,757,916","16,658,607","1,574,020","9,553,482","-622,309","62,893","3,159","88,425","4,755","6,069",64
2011,Full-Year Resident,NYS Unclassified +,United States,New York,NYS Unclassified +,,59,"3,740",217,37,"3,591",221,22,148,-4,"63,385","3,673","97,061","5,961","6,748",65
2011,Full-Year Resident,Residence Unknown ++,United States,New York,Residence Unknown ++,,"7,561","3,089,663","247,399","5,477","3,281,587","248,332","2,084","-191,923",-933,"408,632","32,720","599,158","45,341","-92,094",66
2011,Full-Year Resident,"Grand Total, Full-Year Resident",United States,New York,"Grand Total, Full-Year Resident",,"8,793,837","570,049,128","30,179,988","5,788,418","552,991,972","31,511,387","3,005,419","17,057,157","-1,331,399","64,824","3,432","95,534","5,444","5,675",67
2011,Full-Year Nonresident,Alabama,United States,Alabama,All,,"1,377","627,038","3,334",898,"506,864","3,339",479,"120,174",-6,"455,365","2,421","564,436","3,719","250,885",100
2011,Full-Year Nonresident,Alaska,United States,Alaska,All,,317,"60,356",292,185,"50,644",294,132,"9,712",-2,"190,398",921,"273,752","1,589","73,575",101
2011,Full-Year Nonresident,Arizona,United States,Arizona,All,,"3,796","3,053,534","11,720","2,587","1,332,406","11,748","1,209","1,721,128",-29,"804,408","3,087","515,039","4,541","1,423,596",102
2011,Full-Year Nonresident,Arkansas,United States,Arkansas,All,,613,"246,291",871,432,"103,193",928,181,"143,098",-58,"401,780","1,420","238,873","2,149","790,596",103
2011,Full-Year Nonresident,California,United States,California,All,,"35,531","35,209,020","200,136","25,478","30,664,553","202,748","10,053","4,544,467","-2,612","990,938","5,633","1,203,570","7,958","452,051",104
2011,Full-Year Nonresident,Colorado,United States,Colorado,All,,"4,516","2,672,534","15,275","3,078","2,197,901","15,752","1,438","474,633",-478,"591,792","3,382","714,068","5,118","330,065",105
2011,Full-Year Nonresident,Connecticut,United States,Connecticut,All,,"82,496","31,801,892","1,125,828","73,225","29,751,674","1,130,730","9,271","2,050,219","-4,902","385,496","13,647","406,305","15,442","221,143",106
2011,Full-Year Nonresident,Delaware,United States,Delaware,All,,"1,898","380,464","6,816","1,431","324,936","6,841",467,"55,528",-25,"200,455","3,591","227,069","4,780","118,903",107
2011,Full-Year Nonresident,District of Columbia,United States,District of Columbia,All,,"2,678","1,946,125","44,375","2,080","1,570,914","44,375",598,"375,211",0,"726,708","16,570","755,247","21,334","627,443",108
2011,Full-Year Nonresident,Florida,United States,Florida,All,,"38,616","19,020,986","227,128","25,083","15,366,768","233,136","13,533","3,654,218","-6,009","492,567","5,882","612,637","9,295","270,023",109
2011,Full-Year Nonresident,Georgia,United States,Georgia,All,,"9,057","3,366,565","37,302","6,080","2,765,603","37,413","2,977","600,962",-111,"371,709","4,119","454,869","6,153","201,868",110
2011,Full-Year Nonresident,Hawaii,United States,Hawaii,All,,"1,079","237,444","2,189",479,"124,856","2,189",600,"112,588",0,"220,059","2,028","260,659","4,569","187,646",111
2011,Full-Year Nonresident,Idaho,United States,Idaho,All,,465,"237,895",843,314,"216,225",844,151,"21,671",-1,"511,603","1,813","688,613","2,687","143,514",112
2011,Full-Year Nonresident,Illinois,United States,Illinois,All,,"11,871","12,171,393","68,044","9,626","9,493,117","68,191","2,245","2,678,276",-147,"1,025,305","5,732","986,195","7,084","1,192,996",113
2011,Full-Year Nonresident,Indiana,United States,Indiana,All,,"1,893","1,082,901","5,919","1,431","1,071,227","6,304",462,"11,674",-384,"572,055","3,127","748,586","4,405","25,268",114
2011,Full-Year Nonresident,Iowa,United States,Iowa,All,,838,"248,457",996,636,"235,396",996,202,"13,062",0,"296,488","1,188","370,119","1,566","64,662",115
2011,Full-Year Nonresident,Kansas,United States,Kansas,All,,"1,347","606,944","2,984",876,"591,718","2,996",471,"15,226",-12,"450,590","2,215","675,478","3,420","32,327",116
2011,Full-Year Nonresident,Kentucky,United States,Kentucky,All,,"1,275","554,838","2,966",841,"493,186","2,966",434,"61,652",0,"435,167","2,326","586,428","3,526","142,055",117
2011,Full-Year Nonresident,Louisiana,United States,Louisiana,All,,"1,433","371,977","3,277",962,"325,360","3,283",471,"46,617",-6,"259,579","2,287","338,212","3,413","98,975",118
2011,Full-Year Nonresident,Maine,United States,Maine,All,,"2,279","536,337","7,339","1,802","427,901","7,434",477,"108,436",-95,"235,339","3,220","237,459","4,125","227,330",119
2011,Full-Year Nonresident,Maryland,United States,Maryland,All,,"9,094","4,949,812","52,247","6,737","4,244,516","52,260","2,357","705,297",-13,"544,294","5,745","630,031","7,757","299,235",120
2011,Full-Year Nonresident,Massachusetts,United States,Massachusetts,All,,"20,971","12,413,944","90,437","16,693","10,149,081","91,186","4,278","2,264,863",-749,"591,958","4,312","607,984","5,463","529,421",121
2011,Full-Year Nonresident,Michigan,United States,Michigan,All,,"4,490","2,691,445","10,211","3,397","1,392,824","10,269","1,093","1,298,620",-58,"599,431","2,274","410,016","3,023","1,188,125",122
2011,Full-Year Nonresident,Minnesota,United States,Minnesota,All,,"2,834","1,663,965","7,961","2,261","1,405,765","9,706",573,"258,200","-1,745","587,144","2,809","621,745","4,293","450,611",123
2011,Full-Year Nonresident,Mississippi,United States,Mississippi,All,,659,"163,232",628,483,"155,296",628,176,"7,936",0,"247,696",954,"321,524","1,301","45,089",124
2011,Full-Year Nonresident,Missouri,United States,Missouri,All,,"2,692","1,972,783","7,169","2,031","1,739,625","7,306",661,"233,158",-137,"732,832","2,663","856,536","3,597","352,735",125
2011,Full-Year Nonresident,Montana,United States,Montana,All,,461,"384,049",650,311,"87,754",650,150,"296,295",0,"833,077","1,411","282,167","2,091","1,975,298",126
2011,Full-Year Nonresident,Nebraska,United States,Nebraska,All,,479,"375,659",730,348,"334,244",732,131,"41,416",-2,"784,258","1,524","960,470","2,104","316,151",127
2011,Full-Year Nonresident,Nevada,United States,Nevada,All,,"1,955","1,566,598","8,956","1,320","1,273,858","8,956",635,"292,740",0,"801,329","4,581","965,044","6,785","461,008",128
2011,Full-Year Nonresident,New Hampshire,United States,New Hampshire,All,,"3,029","1,133,515","7,506","2,366","737,782","7,696",663,"395,732",-190,"374,221","2,478","311,827","3,253","596,882",129
2011,Full-Year Nonresident,New Jersey,United States,New Jersey,All,,"396,239","72,275,268","2,931,145","359,021","69,714,437","2,934,873","37,218","2,560,831","-3,728","182,403","7,397","194,179","8,175","68,806",130
2011,Full-Year Nonresident,New Mexico,United States,New Mexico,All,,934,"209,554","1,890",599,"196,205","1,892",335,"13,349",-2,"224,362","2,024","327,554","3,158","39,848",131
2011,Full-Year Nonresident,North Carolina,United States,North Carolina,All,,"10,902","3,390,584","27,282","6,901","3,000,635","27,465","4,001","389,949",-183,"311,006","2,502","434,812","3,980","97,463",132
2011,Full-Year Nonresident,North Dakota,United States,North Dakota,All,,194,"110,696",244,118,"54,801",244,76,"55,895",0,"570,600","1,258","464,418","2,068","735,462",133
2011,Full-Year Nonresident,Ohio,United States,Ohio,All,,"6,692","3,173,676","23,330","5,052","2,805,252","23,396","1,640","368,424",-66,"474,249","3,486","555,276","4,631","224,649",134
2011,Full-Year Nonresident,Oklahoma,United States,Oklahoma,All,,"1,055","810,600","1,906",671,"356,579","1,906",384,"454,021",0,"768,342","1,807","531,415","2,841","1,182,347",135
2011,Full-Year Nonresident,Oregon,United States,Oregon,All,,"1,644","940,153","5,149","1,191","885,515","5,150",453,"54,638",-1,"571,869","3,132","743,505","4,324","120,614",136
2011,Full-Year Nonresident,Pennsylvania,United States,Pennsylvania,All,,"59,262","12,328,775","186,057","49,189","10,866,642","186,543","10,073","1,462,132",-485,"208,038","3,140","220,916","3,792","145,154",137
2011,Full-Year Nonresident,Rhode Island,United States,Rhode Island,All,,"2,523","1,218,690","7,397","1,921","1,050,938","7,403",602,"167,753",-6,"483,032","2,932","547,078","3,854","278,659",138
2011,Full-Year Nonresident,South Carolina,United States,South Carolina,All,,"4,360","1,126,851","15,682","2,700","802,501","15,916","1,660","324,350",-234,"258,452","3,597","297,222","5,895","195,392",139
2011,Full-Year Nonresident,South Dakota,United States,South Dakota,All,,227,"143,685",251,142,"133,694",259,85,"9,991",-8,"632,975","1,108","941,508","1,825","117,544",140
2011,Full-Year Nonresident,Tennessee,United States,Tennessee,All,,"2,699","1,714,529","7,048","1,874","1,237,337","7,170",825,"477,192",-121,"635,246","2,611","660,265","3,826","578,415",141
2011,Full-Year Nonresident,Texas,United States,Texas,All,,"11,924","11,100,167","52,520","8,907","7,582,528","52,703","3,017","3,517,640",-183,"930,910","4,405","851,300","5,917","1,165,940",142
2011,Full-Year Nonresident,Utah,United States,Utah,All,,"1,167","408,338","4,854",802,"415,929","4,951",365,"-7,590",-97,"349,904","4,159","518,615","6,173","-20,796",143
2011,Full-Year Nonresident,Vermont,United States,Vermont,All,,"5,276","717,105","11,376","4,203","595,163","11,515","1,073","121,941",-139,"135,918","2,156","141,604","2,740","113,645",144
2011,Full-Year Nonresident,Virginia,United States,Virginia,All,,"11,885","5,686,069","54,574","8,230","4,845,794","54,707","3,655","840,276",-132,"478,424","4,592","588,796","6,647","229,898",145
2011,Full-Year Nonresident,Washington,United States,Washington,All,,"3,493","6,228,834","8,577","2,199","4,715,724","8,581","1,294","1,513,110",-4,"1,783,233","2,456","2,144,486","3,902","1,169,328",146
2011,Full-Year Nonresident,West Virginia,United States,West Virginia,All,,563,"116,263",600,426,"93,901",603,137,"22,362",-3,"206,506","1,066","220,424","1,416","163,225",147
2009,Full-Year Nonresident,Alabama,United States,Alabama,All,,"1,098","645,865","1,909",705,"465,852","1,915",393,"180,013",,"588,219","1,739","660,783","2,716","458,048",100
2011,Full-Year Nonresident,Wisconsin,United States,Wisconsin,All,,"2,174","917,202","4,889","1,755","815,407","4,895",419,"101,794",-6,"421,896","2,249","464,620","2,789","242,946",148
2011,Full-Year Nonresident,Wyoming,United States,Wyoming,All,,277,"898,402","4,486",170,"849,508","4,486",107,"48,895",0,"3,243,330","16,196","4,997,104","26,390","456,960",149
2011,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,,"2,025","55,975",448,474,"22,083",455,"1,551","33,892",-7,"27,642",221,"46,589",960,"21,852",150
2011,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,,"3,375","574,192","15,019","2,556","553,773","15,022",819,"20,419",-3,"170,131","4,450","216,656","5,877","24,931",200
2011,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,,"2,326","838,366","13,087","1,403","742,276","13,090",923,"96,090",-3,"360,433","5,626","529,064","9,330","104,106",201
2011,Full-Year Nonresident,France,France,Not Applicable,Not Applicable,,"1,063","318,480","10,143",684,"259,910","10,145",379,"58,570",-3,"299,605","9,541","379,986","14,832","154,539",202
2011,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,,"18,020","1,476,634","20,769","6,818","446,586","20,782","11,202","1,030,048",-13,"81,944","1,153","65,501","3,048","91,952",203
2011,Full-Year Nonresident,India,India,Not Applicable,Not Applicable,,"1,033","97,852","1,566",683,"93,516","1,566",350,"4,336",0,"94,726","1,516","136,919","2,292","12,389",204
2011,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,,"1,552","36,865",631,333,"32,302",631,"1,219","4,563",0,"23,753",406,"97,002","1,894","3,743",205
2011,Full-Year Nonresident,Israel,Israel,Not Applicable,Not Applicable,,"1,134","123,877","4,831",416,"107,456","4,831",718,"16,421",0,"109,239","4,260","258,308","11,614","22,870",206
2011,Full-Year Nonresident,Italy,Italy,Not Applicable,Not Applicable,,525,"85,475","3,046",271,"85,913","3,046",254,-438,0,"162,810","5,803","317,023","11,241","-1,724",207
2011,Full-Year Nonresident,Japan,Japan,Not Applicable,Not Applicable,,816,"326,294","5,820",513,"310,070","5,820",303,"16,224",0,"399,870","7,132","604,425","11,344","53,546",208
2011,Full-Year Nonresident,Mexico,Mexico,Not Applicable,Not Applicable,,143,"23,764",644,89,"23,951",649,54,-187,-5,"166,185","4,506","269,114","7,296","-3,458",209
2011,Full-Year Nonresident,Puerto Rico,Puerto Rico,Not Applicable,Not Applicable,,402,"45,586","1,724",210,"66,309","1,724",192,"-20,723",0,"113,398","4,288","315,758","8,209","-107,933",210
2011,Full-Year Nonresident,S. Korea,S. Korea,Not Applicable,Not Applicable,,177,"36,336",329,91,"30,129",329,86,"6,206",0,"205,286","1,861","331,091","3,619","72,166",211
2011,Full-Year Nonresident,United Kingdom,United Kingdom,Not Applicable,Not Applicable,,"3,828","3,292,725","52,209","2,563","3,186,310","52,209","1,265","106,416",0,"860,169","13,639","1,243,195","20,370","84,123",212
2011,Full-Year Nonresident,All Other Countries +++,All Other Countries +++,Not Applicable,Not Applicable,,"7,196","1,531,420","24,782","3,367","1,304,074","24,790","3,829","227,346",-9,"212,815","3,444","387,310","7,363","59,375",213
2011,Full-Year Nonresident,Residence Unknown ++++,Residence Unknown ++++,Not Applicable,Not Applicable,,"27,834","4,928,198","122,618","17,688","4,336,725","122,902","10,146","591,474",-284,"177,057","4,405","245,179","6,948","58,296",214
2011,Full-Year Nonresident,"Grand Total, Full-Year Nonresident",All,All - Excluding New York,"Grand Total, Full-Year Nonresident",,"844,978","279,055,475","5,581,053","687,701","241,755,058","5,604,546","157,277","37,300,417","-23,494","330,252","6,605","351,541","8,150","237,164",215
2011,Part-Year Resident,"Grand Total, Part-Year Resident",All,All - Excluding New York,"Grand Total, Part-Year Resident",,"209,967","16,260,399","567,012","164,501","15,493,957","573,112","45,466","766,442","-6,100","77,443","2,700","94,188","3,484","16,857",250
2011,"Grand Total, Total","Grand Total, Total",All,All,"Grand Total, Total",,"9,848,782","865,365,002","36,328,053","6,640,620","810,240,987","37,689,046","3,208,162","55,124,016","-1,360,993","87,865","3,689","122,013","5,676","17,182",299
2010,Full-Year Resident,New York City - Bronx,United States,New York,Bronx,,"575,413","17,589,666","416,455","296,939","14,534,812","584,757","278,474","3,054,855",,"30,569",724,"48,949","1,969","10,970",1
2010,Full-Year Resident,New York City - Kings,United States,New York,Kings,,"1,056,904","45,113,438","1,757,565","623,586","41,183,950","2,001,618","433,318","3,929,489",,"42,685","1,663","66,044","3,210","9,068",2
2010,Full-Year Resident,New York City - Manhattan,United States,New York,Manhattan,,"797,364","126,708,890","9,253,928","562,852","129,515,594","9,341,847","234,512","-2,806,703",,"158,910","11,606","230,106","16,597","-11,968",3
2010,Full-Year Resident,New York City - Queens,United States,New York,Queens,,"1,011,216","40,119,505","1,453,845","617,754","36,476,684","1,628,541","393,462","3,642,821",,"39,675","1,438","59,047","2,636","9,258",4
2010,Full-Year Resident,New York City - Richmond,United States,New York,Richmond,,"202,362","11,183,369","472,970","140,685","10,736,267","495,722","61,677","447,103",,"55,264","2,337","76,314","3,524","7,249",5
